ID,ID Partido,Temperatura,Unidad
1,1,22.95,Centigrados
2,2,24.05,Centigrados
3,3,24.97,Centigrados
4,4,24.11,Centigrados
5,5,26.01,Centigrados
6,6,20.88,Centigrados
7,7,22.67,Centigrados
8,8,21.3,Centigrados
9,9,23.95,Centigrados
10,10,29.68,Centigrados
11,11,21.69,Centigrados
12,12,27.03,Centigrados
13,13,20.61,Centigrados
14,14,29.01,Centigrados
15,15,23.21,Centigrados
16,16,29.01,Centigrados
17,17,24.91,Centigrados
18,18,20.41,Centigrados
19,19,28.7,Centigrados
20,20,21.31,Centigrados
21,21,25.31,Centigrados
22,22,22.44,Centigrados
23,23,20.58,Centigrados
24,24,27.3,Centigrados
25,25,26.99,Centigrados
26,26,23.33,Centigrados
27,27,25.35,Centigrados
28,28,25.06,Centigrados
29,29,28.98,Centigrados
30,30,28.58,Centigrados
31,31,21.28,Centigrados
32,32,24.81,Centigrados
33,33,28.05,Centigrados
34,34,20.89,Centigrados
35,35,25.63,Centigrados
36,36,27.16,Centigrados
37,37,26.63,Centigrados
38,38,27.87,Centigrados
39,39,28.55,Centigrados
40,40,24.74,Centigrados
41,41,24.04,Centigrados
42,42,24.02,Centigrados
43,43,24.94,Centigrados
44,44,23.08,Centigrados
45,45,28.59,Centigrados
46,46,23.48,Centigrados
47,47,26.23,Centigrados
48,48,24.75,Centigrados
49,49,20.96,Centigrados
50,50,20.84,Centigrados
51,51,22.44,Centigrados
52,52,22.23,Centigrados
53,53,22.02,Centigrados
54,54,28.65,Centigrados
55,55,22.18,Centigrados
56,56,24.04,Centigrados
57,57,25.12,Centigrados
58,58,24.97,Centigrados
59,59,26.13,Centigrados
60,60,23.35,Centigrados
61,61,28,Centigrados
62,62,24.28,Centigrados
63,63,23.68,Centigrados
64,64,23.81,Centigrados
65,65,28.46,Centigrados
66,66,21.8,Centigrados
67,67,25.64,Centigrados
68,68,22.37,Centigrados
69,69,26.58,Centigrados
70,70,25.92,Centigrados
71,71,21.96,Centigrados
72,72,26.91,Centigrados
73,73,29.66,Centigrados
74,74,28.76,Centigrados
75,75,23.39,Centigrados
76,76,25.02,Centigrados
77,77,27.98,Centigrados
78,78,24.86,Centigrados
79,79,25.58,Centigrados
80,80,21.56,Centigrados
81,81,26.86,Centigrados
82,82,25.96,Centigrados
83,83,26.67,Centigrados
84,84,21.54,Centigrados
85,85,27.2,Centigrados
86,86,25.76,Centigrados
87,87,21.87,Centigrados
88,88,26.87,Centigrados
89,89,23.27,Centigrados
90,90,31.03,Centigrados
91,91,24.63,Centigrados
92,92,27.47,Centigrados
93,93,25.1,Centigrados
94,94,24.01,Centigrados
95,95,28.51,Centigrados
96,96,28.42,Centigrados
97,97,26.53,Centigrados
98,98,24.69,Centigrados
99,99,28.24,Centigrados
100,100,25.39,Centigrados
101,101,29.55,Centigrados
102,102,30.47,Centigrados
103,103,28.6,Centigrados
104,104,29.1,Centigrados
105,105,22.91,Centigrados
106,106,24.86,Centigrados
107,107,28.99,Centigrados
108,108,24.37,Centigrados
109,109,24.16,Centigrados
110,110,26.54,Centigrados
111,111,27.58,Centigrados
112,112,30.38,Centigrados
113,113,30.9,Centigrados
114,114,23.22,Centigrados
115,115,30.09,Centigrados
116,116,27.97,Centigrados
117,117,29.71,Centigrados
118,118,24.83,Centigrados
119,119,26.82,Centigrados
120,120,26.16,Centigrados
121,121,28.95,Centigrados
122,122,25.21,Centigrados
123,123,26.26,Centigrados
124,124,23.31,Centigrados
125,125,29.37,Centigrados
126,126,29.01,Centigrados
127,127,29.4,Centigrados
128,128,26.82,Centigrados
129,129,23.07,Centigrados
130,130,27.33,Centigrados
131,131,26.4,Centigrados
132,132,28.3,Centigrados
133,133,26.64,Centigrados
134,134,27.76,Centigrados
135,135,23.32,Centigrados
136,136,27.22,Centigrados
137,137,23.77,Centigrados
138,138,22.5,Centigrados
139,139,24.28,Centigrados
140,140,27.47,Centigrados
141,141,28.71,Centigrados
142,142,24.66,Centigrados
143,143,24.03,Centigrados
144,144,28.15,Centigrados
145,145,27.98,Centigrados
146,146,23.35,Centigrados
147,147,27.31,Centigrados
148,148,29.47,Centigrados
149,149,24.16,Centigrados
150,150,22.23,Centigrados
151,151,25.76,Centigrados
152,152,25.8,Centigrados
153,153,28.48,Centigrados
154,154,25.85,Centigrados
155,155,30.26,Centigrados
156,156,27.65,Centigrados
157,157,24.82,Centigrados
158,158,22.31,Centigrados
159,159,28.61,Centigrados
160,160,24.64,Centigrados
161,161,24.49,Centigrados
162,162,24.31,Centigrados
163,163,26.5,Centigrados
164,164,28.85,Centigrados
165,165,24.47,Centigrados
166,166,26.23,Centigrados
167,167,29.57,Centigrados
168,168,26.76,Centigrados
169,169,25.97,Centigrados
170,170,25.69,Centigrados
171,171,23.43,Centigrados
172,172,27.17,Centigrados
173,173,26.19,Centigrados
174,174,27.48,Centigrados
175,175,30.19,Centigrados
176,176,24.62,Centigrados
177,177,23.99,Centigrados
178,178,22.95,Centigrados
179,179,28.12,Centigrados
180,180,27.17,Centigrados
181,181,23.25,Centigrados
182,182,23.86,Centigrados
183,183,29.29,Centigrados
184,184,24.24,Centigrados
185,185,29.26,Centigrados
186,186,25.25,Centigrados
187,187,28.96,Centigrados
188,188,26.69,Centigrados
189,189,30.43,Centigrados
190,190,28.4,Centigrados
191,191,28.07,Centigrados
192,192,26.57,Centigrados
193,193,25.54,Centigrados
194,194,28.47,Centigrados
195,195,26.02,Centigrados
196,196,23.56,Centigrados
197,197,24.79,Centigrados
198,198,30.87,Centigrados
199,199,26.59,Centigrados
200,200,28.21,Centigrados
201,201,27.53,Centigrados
202,202,29.36,Centigrados
203,203,24.41,Centigrados
204,204,28.42,Centigrados
205,205,27.59,Centigrados
206,206,23.65,Centigrados
207,207,29.41,Centigrados
208,208,24.53,Centigrados
209,209,24.99,Centigrados
210,210,23.85,Centigrados
211,211,29.16,Centigrados
212,212,28.35,Centigrados
213,213,24.26,Centigrados
214,214,27.92,Centigrados
215,215,23.71,Centigrados
216,216,30.15,Centigrados
217,217,28.6,Centigrados
