ID_Partido,Liga,Temporada,Fecha,Hora,Equipo Local,Goles Equipo Local,Equipo Visitante,Goles Equipo Visitante,Temperatura,Altitud
1,Liga Española,1970-71,9/12/1970,1:05:42,Athletic de Bilbao,1,Barcelona,1,22.95,657
2,Liga Española,1970-71,9/12/1970,1:05:42,Las Palmas,1,Atlético de Madrid,1,24.05,13
3,Liga Española,1970-71,9/12/1970,1:05:42,Real Madrid,2,Valencia,0,24.97,11
4,Liga Española,1970-71,9/13/1970,1:07:08,Celta de Vigo,2,Sporting de Gijón,0,24.11,42
5,Liga Española,1970-71,9/13/1970,1:07:08,Elche,1,Granada,1,26.01,7
6,Liga Española,1970-71,9/13/1970,1:07:08,Espanyol,0,Sevilla,1,20.88,6
7,Liga Española,1970-71,9/13/1970,1:07:08,Sabadell,0,Real Sociedad,0,22.67,539
8,Liga Española,1970-71,9/13/1970,1:07:08,Real Zaragosa,0,CD Malaga,0,21.3,121
9,Liga Española,1970-71,9/19/1970,1:15:46,Valencia,5,Las Palmas,1,23.95,8
10,Liga Española,1970-71,9/20/1970,1:17:13,Atlético de Madrid,2,Athletic de Bilbao,0,29.68,16
11,Liga Española,1970-71,9/20/1970,1:17:13,Barcelona,5,Real Zaragosa,2,21.69,62
12,Liga Española,1970-71,9/20/1970,1:17:13,Sporting de Gijón,3,Sabadell,2,27.03,6
13,Liga Española,1970-71,9/20/1970,1:17:13,Granada,1,Espanyol,0,20.61,21
14,Liga Española,1970-71,9/20/1970,1:17:13,CD Málaga,2,Celta de Vigo,1,29.01,666
15,Liga Española,1970-71,9/20/1970,1:17:13,Real Sociedad,2,Elche,0,23.21,3
16,Liga Española,1970-71,9/20/1970,1:17:13,Sevilla,3,Real Madrid,1,29.01,450
17,Liga Española,1970-71,9/26/1970,1:25:51,Las Palmas,1,Athletic de Bilbao,1,24.91,684
18,Liga Española,1970-71,9/26/1970,1:25:51,Real Madrid,3,Granada,2,20.41,622
19,Liga Española,1970-71,9/26/1970,1:25:51,Valencia,0,Sevilla,1,28.7,69
20,Liga Española,1970-71,9/27/1970,1:27:18,Celta de Vigo,1,Barcelona,1,21.31,86
21,Liga Española,1970-71,9/27/1970,1:27:18,Elche,5,Sporting de Gijón,0,25.31,16
22,Liga Española,1970-71,9/27/1970,1:27:18,Espanyol,0,Real Sociedad,0,22.44,106
23,Liga Española,1970-71,9/27/1970,1:27:18,Sabadell,5,CD Malaga,2,20.58,253
24,Liga Española,1970-71,9/27/1970,1:27:18,Real Zaragosa,0,Atlético de Madrid,1,27.3,208
25,Liga Española,1970-71,10/4/1970,1:37:22,Athletic de Bilbao,3,Real Zaragosa,0,26.99,859
26,Liga Española,1970-71,10/4/1970,1:37:22,Atlético de Madrid,3,Celta de Vigo,1,23.33,27
27,Liga Española,1970-71,10/4/1970,1:37:22,Barcelona,4,Sabadell,1,25.35,231
28,Liga Española,1970-71,10/4/1970,1:37:22,Sporting de Gijón,0,Espanyol,1,25.06,8
29,Liga Española,1970-71,10/4/1970,1:37:22,Granada,2,Valencia,2,28.98,42
30,Liga Española,1970-71,10/4/1970,1:37:22,Las Palmas,0,Sevilla,0,28.58,5
31,Liga Española,1970-71,10/4/1970,1:37:22,CD Málaga,1,Elche,0,21.28,798
32,Liga Española,1970-71,10/4/1970,1:37:22,Real Sociedad,0,Real Madrid,0,24.81,13
33,Liga Española,1970-71,10/11/1970,1:47:27,Celta de Vigo,2,Athletic de Bilbao,1,28.05,24
34,Liga Española,1970-71,10/11/1970,1:47:27,Elche,0,Barcelona,1,20.89,690
35,Liga Española,1970-71,10/11/1970,1:47:27,Espanyol,1,CD Malaga,1,25.63,24
36,Liga Española,1970-71,10/11/1970,1:47:27,Real Madrid,1,Sporting de Gijón,1,27.16,384
37,Liga Española,1970-71,10/11/1970,1:47:27,Sabadell,0,Atlético de Madrid,2,26.63,1
38,Liga Española,1970-71,10/11/1970,1:47:27,Sevilla,1,Granada,0,27.87,681
39,Liga Española,1970-71,10/11/1970,1:47:27,Valencia,0,Real Sociedad,0,28.55,167
40,Liga Española,1970-71,10/11/1970,1:47:27,Real Zaragosa,1,Las Palmas,1,24.74,224
41,Liga Española,1970-71,10/17/1970,1:56:06,Athletic de Bilbao,1,Sabadell,0,24.04,337
42,Liga Española,1970-71,10/17/1970,1:56:06,Atlético de Madrid,3,Elche,1,24.02,1061
43,Liga Española,1970-71,10/17/1970,1:56:06,Barcelona,3,Espanyol,0,24.94,357
44,Liga Española,1970-71,10/17/1970,1:56:06,Sporting de Gijón,0,Valencia,1,23.08,56
45,Liga Española,1970-71,10/18/1970,1:57:32,Granada,1,Las Palmas,0,28.59,519
46,Liga Española,1970-71,10/18/1970,1:57:32,CD Málaga,0,Real Madrid,2,23.48,86
47,Liga Española,1970-71,10/18/1970,1:57:32,Real Sociedad,1,Sevilla,0,26.23,33
48,Liga Española,1970-71,10/18/1970,1:57:32,Real Zaragosa,0,Celta de Vigo,0,24.75,37
49,Liga Española,1970-71,10/25/1970,2:07:37,Elche,1,Athletic de Bilbao,1,20.96,6
50,Liga Española,1970-71,10/25/1970,2:07:37,Espanyol,0,Atlético de Madrid,0,20.84,113
51,Liga Española,1970-71,10/25/1970,2:07:37,Granada,2,Real Sociedad,0,22.44,70
52,Liga Española,1970-71,10/25/1970,2:07:37,Las Palmas,1,Celta de Vigo,2,22.23,104
53,Liga Española,1970-71,10/25/1970,2:07:37,Real Madrid,0,Barcelona,1,22.02,12
54,Liga Española,1970-71,10/25/1970,2:07:37,Sabadell,2,Real Zaragosa,1,28.65,112
55,Liga Española,1970-71,10/25/1970,2:07:37,Sevilla,1,Sporting de Gijón,1,22.18,112
56,Liga Española,1970-71,10/25/1970,2:07:37,Valencia,1,CD Malaga,0,24.04,278
57,Liga Española,1970-71,10/31/1970,2:16:15,Barcelona,0,Valencia,2,25.12,245
58,Liga Española,1970-71,11/1/1970,2:17:42,Athletic de Bilbao,2,Espanyol,0,24.97,115
59,Liga Española,1970-71,11/1/1970,2:17:42,Atlético de Madrid,2,Real Madrid,2,26.13,60
60,Liga Española,1970-71,11/1/1970,2:17:42,Celta de Vigo,1,Sabadell,0,23.35,302
61,Liga Española,1970-71,11/1/1970,2:17:42,Sporting de Gijón,3,Granada,2,28,110
62,Liga Española,1970-71,11/1/1970,2:17:42,Las Palmas,4,Real Sociedad,2,24.28,245
63,Liga Española,1970-71,11/1/1970,2:17:42,CD Málaga,1,Sevilla,1,23.68,38
64,Liga Española,1970-71,11/1/1970,2:17:42,Real Zaragosa,1,Elche,1,23.81,13
65,Liga Española,1970-71,11/15/1970,2:37:51,Elche,1,Celta de Vigo,1,28.46,38
66,Liga Española,1970-71,11/15/1970,2:37:51,Espanyol,0,Real Zaragosa,0,21.8,118
67,Liga Española,1970-71,11/15/1970,2:37:51,Granada,1,CD Malaga,1,25.64,34
