ID_Partido;Liga;Temporada;Fecha;Hora;Jornada;Equipo Local;Goles Equipo Local;Equipo Visitante;Goles Equipo Visitante
1;Liga Santander;2017-2018;20/08/2017;1:15:00 p. m.;1;Barcelona;2;Betis;0
2;Liga Santander;2017-2018;21/08/2017;3:15:00 p. m.;1;Levante;1;Villareal;0
3;Liga Santander;2017-2018;21/08/2017;1:15:00 p. m.;1;Malaga;0;Eibar;1
4;Liga Santander;2017-2018;18/08/2017;1:15:00 p. m.;1;Leganes;1;Alaves;0
5;Liga Santander;2017-2018;20/08/2017;11:15:00 a. m.;1;Athletic de Bilbao;0;Getafe;0
6;Liga Santander;2017-2018;20/08/2017;3:15:00 p. m.;1;Deportivo la Coruña;0;Real Madrid;3
7;Liga Santander;2017-2018;19/08/2017;3:15:00 p. m.;1;Sevilla;1;Espanyol;1
8;Liga Santander;2017-2018;19/08/2017;11:15:00 a. m.;1;Celta de Vigo;2;Real Sociedad;3
9;Liga Santander;2017-2018;18/08/2017;3:15:00 p. m.;1;Valencia;1;Las Palmas;0
10;Liga Santander;2017-2018;19/08/2017;1:15:00 p. m.;1;Girona;2;Atletico de Madrid;2
11;Liga Santander;2017-2018;27/08/2017;11:15:00 a. m.;2;Eibar;0;Athletic de Bilbao;1
12;Liga Santander;2017-2018;27/08/2017;11:15:00 a. m.;2;Espanyol;0;Leganes;1
13;Liga Santander;2017-2018;27/08/2017;3:15:00 p. m.;2;Real Madrid;2;Valencia;2
14;Liga Santander;2017-2018;26/08/2017;1:15:00 p. m.;2;Levante;2;Deportivo la Coruña;2
15;Liga Santander;2017-2018;27/08/2017;1:15:00 p. m.;2;Getafe;0;Sevilla;1
16;Liga Santander;2017-2018;26/08/2017;11:15:00 a. m.;2;Alaves;0;Barcelona;2
17;Liga Santander;2017-2018;26/08/2017;3:15:00 p. m.;2;Las Palmas;1;Atletico de Madrid;5
18;Liga Santander;2017-2018;25/08/2017;1:15:00 p. m.;2;Real Sociedad;3;Villareal;0
19;Liga Santander;2017-2018;25/08/2017;3:00:00 p. m.;2;Betis;2;Celta deVigo;1
20;Liga Santander;2017-2018;26/08/2017;1:15:00 p. m.;2;Girona;1;Malaga;0
